# Per-type review of api.v1 types excluded from the stable binary baseline.
# Evidence columns record direct symbol references, not inferred coverage.
# A type remains non-stable until every release-grade runtime gate is proven.
type	disposition	core_ref	sample_ref	test_ref	doc_ref	rationale
com.stardew.craft.api.v1.reward.StardewRewardPreview	keep_experimental	no	yes	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.reward.StardewRewardPreviewProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.reward.StardewRewardPreviews	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.shop.StardewShopCostContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.shop.StardewShopCostProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.shop.StardewShopCostRule	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.shop.StardewShopCosts	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.shop.StardewShopInventories	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.shop.StardewShopInventorySnapshot	keep_experimental	no	yes	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.shop.StardewShopProductContext	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.shop.StardewShopProductDecision	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.shop.StardewShopProductGrant	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.shop.StardewShopProductHandler	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.shop.StardewShopProductPreparation	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.shop.StardewShopProductRequirementProvider	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.shop.StardewShopProductRule	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.shop.StardewShopProducts	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.shop.StardewShopRowKey	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.shop.StardewShopStockRule	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.tree.StardewTreeRuntime	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.tree.StardewTreeRuntimeAdapter	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.tree.StardewTreeState	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.tree.StardewTreeType	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.tree.StardewTreeTypes	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.world.StardewArtifactSpotDrops	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.world.StardewLocation	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewLocationEnvironmentKeys	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewLocationEvents	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
com.stardew.craft.api.v1.world.StardewLocationTransition	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewLocationTransitionListener	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.world.StardewLocations	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewMapSlot	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.world.StardewMapSlotRoles	keep_experimental	no	no	no	yes	core_runtime_reference_missing
com.stardew.craft.api.v1.world.StardewMapSlotScopes	keep_experimental	no	no	no	no	core_runtime_reference_missing
com.stardew.craft.api.v1.world.StardewMapSlots	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewRegion	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewRegions	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewWorldAnchor	keep_experimental	yes	no	no	no	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewWorldAnchors	keep_experimental	yes	no	no	yes	independent_sample_reference_missing
com.stardew.craft.api.v1.world.StardewWorldEvents	keep_experimental	yes	yes	no	yes	direct_test_reference_missing
